threshold: 0.0, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.01, precision: 0.339948373095, recall: 0.842313959804, f1: 0.484398855148
threshold: 0.02, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.03, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.04, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.05, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.06, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.07, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.08, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.09, precision: 0.339948373095, recall: 0.842313959804, f1: 0.484398855148
threshold: 0.1, precision: 0.339948373095, recall: 0.842313959804, f1: 0.484398855148
threshold: 0.11, precision: 0.339948373095, recall: 0.842313959804, f1: 0.484398855148
threshold: 0.12, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.13, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.14, precision: 0.339948373095, recall: 0.842313959804, f1: 0.484398855148
threshold: 0.15, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.16, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.17, precision: 0.339948373095, recall: 0.842313959804, f1: 0.484398855148
threshold: 0.18, precision: 0.339949743236, recall: 0.842317354699, f1: 0.484400807488
threshold: 0.19, precision: 0.339952072147, recall: 0.842317354699, f1: 0.484403171786
threshold: 0.2, precision: 0.339970704584, recall: 0.842317354699, f1: 0.484422087006
threshold: 0.21, precision: 0.340103109318, recall: 0.84231056491, f1: 0.484555360583
threshold: 0.22, precision: 0.340643951303, recall: 0.842296985334, f1: 0.485101773671
threshold: 0.23, precision: 0.341830316608, recall: 0.842259641499, f1: 0.486297308661
threshold: 0.24, precision: 0.344071122946, recall: 0.842195138512, f1: 0.488549723553
threshold: 0.25, precision: 0.347514799117, recall: 0.84203557849, f1: 0.491983913278
threshold: 0.26, precision: 0.35265040086, recall: 0.841624796306, f1: 0.497036734072
threshold: 0.27, precision: 0.359901321668, recall: 0.840979766431, f1: 0.504079433732
threshold: 0.28, precision: 0.369810564777, recall: 0.839760999457, f1: 0.513491716687
threshold: 0.29, precision: 0.382495013785, recall: 0.837914177078, f1: 0.525230385204
threshold: 0.3, precision: 0.398283517655, recall: 0.834682237914, f1: 0.539252897072
threshold: 0.31, precision: 0.417171527553, recall: 0.829881857686, f1: 0.555233779655
threshold: 0.32, precision: 0.439275133463, recall: 0.823509641499, f1: 0.572935807986
threshold: 0.33, precision: 0.463622902175, recall: 0.815270233569, f1: 0.591101697523
threshold: 0.34, precision: 0.48969560595, recall: 0.805306219446, f1: 0.609041484534
threshold: 0.35, precision: 0.516311533851, recall: 0.794069120043, f1: 0.62575259202
threshold: 0.36, precision: 0.543240635226, recall: 0.781681151548, f1: 0.641005332617
threshold: 0.37, precision: 0.569400146895, recall: 0.768512357414, f1: 0.654140009594
threshold: 0.38, precision: 0.595112069704, recall: 0.754993889191, f1: 0.665586242398
threshold: 0.39, precision: 0.618830763999, recall: 0.74135320478, f1: 0.674573705672
threshold: 0.4, precision: 0.6409280834, recall: 0.728011271048, f1: 0.681699838828
threshold: 0.41, precision: 0.661394433829, recall: 0.714492802825, f1: 0.686919029714
threshold: 0.42, precision: 0.680077119977, recall: 0.701738185769, f1: 0.690737875563
threshold: 0.43, precision: 0.696939942115, recall: 0.689153313417, f1: 0.693024756371
threshold: 0.44, precision: 0.71200725678, recall: 0.676846822379, f1: 0.693981976212
threshold: 0.45, precision: 0.725921810471, recall: 0.665358500815, f1: 0.694321976105
threshold: 0.46, precision: 0.738049068375, recall: 0.653815860945, f1: 0.693383642183
threshold: 0.47, precision: 0.748891015047, recall: 0.643060836502, f1: 0.691952788524
threshold: 0.48, precision: 0.758569335937, recall: 0.632896523628, f1: 0.690057743559
threshold: 0.49, precision: 0.767023815994, recall: 0.622891770777, f1: 0.687484660968
threshold: 0.5, precision: 0.774934625113, recall: 0.613691607822, f1: 0.684951594263
threshold: 0.51, precision: 0.78167843151, recall: 0.60488525258, f1: 0.682010874662
threshold: 0.52, precision: 0.787570155463, recall: 0.596442151005, f1: 0.678809047284
threshold: 0.53, precision: 0.792473005269, recall: 0.588756110809, f1: 0.67559149901
threshold: 0.54, precision: 0.796499760544, recall: 0.581558935361, f1: 0.672266796957
threshold: 0.55, precision: 0.799933828047, recall: 0.57455866377, f1: 0.668768893367
threshold: 0.56, precision: 0.803142843434, recall: 0.568247555676, f1: 0.665578463924
threshold: 0.57, precision: 0.805771775512, recall: 0.562289516567, f1: 0.662363630547
threshold: 0.58, precision: 0.807996688579, recall: 0.556660782184, f1: 0.659183829353
threshold: 0.59, precision: 0.809875017442, recall: 0.551724606192, f1: 0.656327994378
threshold: 0.6, precision: 0.81110439339, recall: 0.546537208039, f1: 0.653042349505
threshold: 0.61, precision: 0.812364894077, recall: 0.542215507876, f1: 0.650351714801
threshold: 0.62, precision: 0.813377518095, recall: 0.53829101032, f1: 0.647841977205
threshold: 0.63, precision: 0.814240493235, recall: 0.534431015752, f1: 0.645309656156
threshold: 0.64, precision: 0.814797446919, recall: 0.530893536122, f1: 0.642897519965
threshold: 0.65, precision: 0.815347897925, recall: 0.527709125475, f1: 0.640727115343
threshold: 0.66, precision: 0.815760600082, recall: 0.525010184682, f1: 0.638860315532
threshold: 0.67, precision: 0.815910368901, recall: 0.522148288973, f1: 0.636782551453
threshold: 0.68, precision: 0.81609330192, recall: 0.519771863118, f1: 0.63506759083
threshold: 0.69, precision: 0.816102289088, recall: 0.517663633895, f1: 0.633494182629
threshold: 0.7, precision: 0.816085531618, recall: 0.515677620858, f1: 0.631999833573
threshold: 0.71, precision: 0.816137430667, recall: 0.514017517653, f1: 0.630767019595
threshold: 0.72, precision: 0.816081330869, recall: 0.512605241716, f1: 0.629685851429
threshold: 0.73, precision: 0.816026311369, recall: 0.511288022814, f1: 0.62867471338
threshold: 0.74, precision: 0.815978105044, recall: 0.510130363933, f1: 0.627784555223
threshold: 0.75, precision: 0.815923753985, recall: 0.509193373167, f1: 0.627058484153
threshold: 0.76, precision: 0.815879657628, recall: 0.508381993482, f1: 0.626429869714
threshold: 0.77, precision: 0.815855940386, recall: 0.507730173819, f1: 0.625927809272
threshold: 0.78, precision: 0.815763751235, recall: 0.507163226507, f1: 0.625469709372
threshold: 0.79, precision: 0.815698427534, recall: 0.50665738729, f1: 0.625065703917
threshold: 0.8, precision: 0.815695346853, recall: 0.506331477458, f1: 0.624816717078
threshold: 0.81, precision: 0.815646187774, recall: 0.506015752309, f1: 0.624561859288
threshold: 0.82, precision: 0.815595963578, recall: 0.505696632265, f1: 0.624304008617
threshold: 0.83, precision: 0.815584230647, recall: 0.505537072243, f1: 0.624178965591
threshold: 0.84, precision: 0.815560254626, recall: 0.505411461162, f1: 0.624076193351
threshold: 0.85, precision: 0.815540895941, recall: 0.505316404128, f1: 0.623998054801
threshold: 0.86, precision: 0.815532225011, recall: 0.505272270505, f1: 0.623961866272
threshold: 0.87, precision: 0.815528021788, recall: 0.505228136882, f1: 0.623926983521
threshold: 0.88, precision: 0.815521956192, recall: 0.505207767518, f1: 0.623909675769
threshold: 0.89, precision: 0.815516901223, recall: 0.505190793047, f1: 0.62389525231
threshold: 0.9, precision: 0.815513868109, recall: 0.505180608365, f1: 0.623886598089
threshold: 0.91, precision: 0.815509823802, recall: 0.505167028789, f1: 0.623875058959
threshold: 0.92, precision: 0.815509823802, recall: 0.505167028789, f1: 0.623875058959
threshold: 0.93, precision: 0.815507801582, recall: 0.505160239001, f1: 0.623869289321
threshold: 0.94, precision: 0.815507801582, recall: 0.505160239001, f1: 0.623869289321
threshold: 0.95, precision: 0.815513282145, recall: 0.505163633895, f1: 0.623873481991
threshold: 0.96, precision: 0.815507801582, recall: 0.505160239001, f1: 0.623869289321
threshold: 0.97, precision: 0.815507801582, recall: 0.505160239001, f1: 0.623869289321
